Nigeria;America;accede_to
Steinmeier;Lavrov;offer
Steinmeier;Russia;offer
Moscow;Russia;offer
Moscow;Ukraine;offer
Dempsey;Syria;oust
Putin;Russia;oversee
China National Petroleum Corporation;Putin;oversee_by
Austria;Brussels;participate_in
United States;Russia;pay
United States;Russia;pay
United States;Russia;pay
Ukraine;Russia;pay_for
Putin;China;pay_visit_to
Senate;Kiev;pay_visit_to
Hague;Ukraine;play_role_in
Ukraine;Washington;point_finger_at
Maidan;CIA;post_on
Obama;Kiev;praise
United States;France;press
Washington;Kiev;provide_aid_to
Moscow;Russia;push
Levada Center;Putin;put
Levada Center;Russia;put
AFP;France;quote
Washington;Manila;raise
Germany;Lenin;rally_around
Russia;NYT;refrain_from
Crimea;Russia;refuse_to_receive
Crimea;Solidarity;rely_on
Maidan;Kiev;remain_in
Birnbaum;Moscow;report_from
Walsh;Andreevka;report_from
New York;Obama;report_on
Ukraine;Russia;resume
Sevastopol;Russia;return_to
Putin;China;s_visit_to
Naryshkin;Japan;s_visit_to
Putin;China;s_visit_to
Putin;Beijing;s_visit_to
Rogozin;Moscow;say
State Department;Washington;say
Communist Party;Donetsk;say
Communist Party;Lugansk;say
State Department;Kerry;say
Kerry;Ethiopia;say
Kerry;Uganda;say
Lavrov;Russia;say
Rogozin;Moscow;say
Lavrov;Russia;say
Steinmeier;Ukraine;say
White House;Chemezov;say
White House;Putin;say
Donetsk;Horlivka;say_of
Donetsk;Horlivka;say_of
Breedlove;Putin;say_on
Breedlove;Russia;say_on
Foreign Ministry;NATO;say_on
Foreign Ministry;Russia;say_on
Amnesty International;Kiev;say_on
Russia;Britain;say_statement_issue_by
Russia;Crimea;seize
Kolomoysky;Kiev;send_from
Kolomoysky;Kiev;send_from
Moscow;Europe;send_letter_to
Lavrov;OSCE;send_letter_to
United States;Egypt;send_message_to
New York;America;shut_down
United States;EDCA;sign
Putin;Ukraine;sign
Putin;CIA;sign_law_on
Putin;Kharkiv;sign_law_on
Putin;CIA;sign_law_on
Putin;Kharkiv;sign_law_on
Putin;CIA;sign_law_on
Geneva;Russia;sign_with
Putin;Kiev;slam
Putin;Moscow;slam
Putin;Ukraine;slam
India;China;spar_with
Philippines;China;spar_with
Medvedev;Crimea;speak_about
Medvedev;Crimea;speak_about
Medvedev;Crimea;speak_about
Medvedev;Crimea;speak_about
Medvedev;Crimea;speak_about
Medvedev;Crimea;speak_about
Medvedev;Crimea;speak_about
Medvedev;Crimea;speak_about
Medvedev;Crimea;speak_about
Medvedev;Crimea;speak_about
Medvedev;Crimea;speak_about
Medvedev;Crimea;speak_about
Medvedev;Crimea;speak_about
Medvedev;Crimea;speak_about
Medvedev;Crimea;speak_about
Medvedev;Crimea;speak_about
Medvedev;Crimea;speak_about
Medvedev;Crimea;speak_about
Medvedev;Crimea;speak_about
Medvedev;Crimea;speak_about
Medvedev;Crimea;speak_about
East Ukraine;Kiev;speak_against
Germany;Europe;speak_for
Germany;Russia;speak_for
Germany;Ukraine;speak_for
Kerry;Lavrov;speak_to
Kerry;Russia;speak_to
