"Url","Source","Title","Published"
"http://en.itar-tass.com/world/729737?utm_medium=rss20","TASS","Former deputies in western Ukraine speak out against march commemorating SS division","Sun- 27 Apr 2014 17-49-56 +0400"
"http://en.itar-tass.com/russia/729735?utm_medium=rss20","TASS","Moscowâ€™s police checking bomb warning call at Mosfilm film studio","Sun- 27 Apr 2014 17-47-11 +0400"
"http://en.itar-tass.com/russia/729734?utm_medium=rss20","TASS","Russia to continue efforts to have arrested Donetsk governor released as soon as possible","Sun- 27 Apr 2014 17-28-29 +0400"
"http://en.itar-tass.com/russia/729732?utm_medium=rss20","TASS","Putin to discuss integration of Crimea Sevastopol in Russia with lawmakers","Sun- 27 Apr 2014 17-26-31 +0400"
"http://en.itar-tass.com/world/729731?utm_medium=rss20","TASS","Five candidates for Kiev mayor registered with territorial election comission","Sun- 27 Apr 2014 17-25-46 +0400"
"http://en.itar-tass.com/russia/729730?utm_medium=rss20","TASS","Medvedev to meet with Crown Prince of Bahrain on April 29","Sun- 27 Apr 2014 17-24-53 +0400"
"http://en.itar-tass.com/world/729728?utm_medium=rss20","TASS","Ukraine federalisation supporters protesting in 2 big east Ukrainian cities","Sun- 27 Apr 2014 16-02-51 +0400"
"http://en.itar-tass.com/russia/729723?utm_medium=rss20","TASS","Russia celebrates Day of Russian Parliamentarism","Sun- 27 Apr 2014 13-46-41 +0400"
"http://en.itar-tass.com/world/729722?utm_medium=rss20","TASS","Locals barricade administrative building to protect native east Ukraine city","Sun- 27 Apr 2014 11-52-24 +0400"
"http://en.itar-tass.com/world/729714?utm_medium=rss20","TASS","Peopleâ€™s militia fighters in Donetsk region capture three special task force officers","Sun- 27 Apr 2014 08-48-21 +0400"
"http://en.itar-tass.com/russia/729713?utm_medium=rss20","TASS","In Ukrainian crisis conditions Switzerland gives constructive dialogue example - official","Sun- 27 Apr 2014 07-46-52 +0400"
"http://en.itar-tass.com/russia/729709?utm_medium=rss20","TASS","Gunmen cache with more than tonne of food found in Ingushetia","Sun- 27 Apr 2014 06-19-20 +0400"
"http://en.itar-tass.com/russia/729706?utm_medium=rss20","TASS","Duma to consider in autumn amendments to law on retailers cost saving","Sun- 27 Apr 2014 04-01-31 +0400"
"http://en.itar-tass.com/world/729697?utm_medium=rss20","TASS","Kiev has no legal grounds for halting water supply to Crimea - deputy premier","Sat- 26 Apr 2014 22-56-35 +0400"
"http://en.itar-tass.com/world/729696?utm_medium=rss20","TASS","Ukrainian FM invites Russia to hold talks in Vienna April 28","Sat- 26 Apr 2014 22-55-01 +0400"
"http://en.itar-tass.com/russia/729695?utm_medium=rss20","TASS","New sanctions against Russia can upset crisis resolution in Ukraine -official","Sat- 26 Apr 2014 22-40-35 +0400"
"http://en.itar-tass.com/world/729693?utm_medium=rss20","TASS","Timoshenko says Ukraine should join NATO","Sat- 26 Apr 2014 21-45-13 +0400"
"http://en.itar-tass.com/russia/729692?utm_medium=rss20","TASS","Lavrov urges OSCE to press for speedy release of political prisoners in Ukraine","Sat- 26 Apr 2014 21-08-23 +0400"
"http://en.itar-tass.com/russia/729690?utm_medium=rss20","TASS","Lavrov Kerry state 92 prc of chemicals removed from Syria","Sat- 26 Apr 2014 20-50-25 +0400"
"http://en.itar-tass.com/russia/729687?utm_medium=rss20","TASS","Lavrov calls for end to army operation against protesters in Ukraine","Sat- 26 Apr 2014 20-07-27 +0400"
"http://en.itar-tass.com/world/729684?utm_medium=rss20","TASS","ICRC OSCE Kiev agree on visit to jailed Donetsk peopleâ€™s governor","Sat- 26 Apr 2014 19-36-48 +0400"
"http://en.itar-tass.com/world/729679?utm_medium=rss20","TASS","Presidential candidate situation in Ukraine can be settled in 2 days","Sat- 26 Apr 2014 19-14-00 +0400"
"http://en.itar-tass.com/russia/729673?utm_medium=rss20","TASS","No violation of Ukraine air space by Russian aircraft","Sat- 26 Apr 2014 17-32-47 +0400"
"http://en.itar-tass.com/russia/729671?utm_medium=rss20","TASS","Russian and German foreign ministers had discussed the crisis in Ukraine","Sat- 26 Apr 2014 16-40-54 +0400"
"http://en.itar-tass.com/russia/729668?utm_medium=rss20","TASS","RF was taking steps to settle situation over detention of military inspectors in Slavyansk","Sat- 26 Apr 2014 15-48-12 +0400"
"http://en.itar-tass.com/russia/729664?utm_medium=rss20","TASS","Russia to take all steps to free detained OSCE observers","Sat- 26 Apr 2014 13-21-57 +0400"
"http://en.itar-tass.com/russia/729661?utm_medium=rss20","TASS","Snowstorm hits Chelyabinsk reg leaving thousands without electricity","Sat- 26 Apr 2014 09-58-34 +0400"
"http://en.itar-tass.com/world/729808?utm_medium=rss20","TASS","Beijing says sanctions against Russia unlikely to help resolve Ukraineâ€™s problems","Mon- 28 Apr 2014 14-15-47 +0400"
"http://en.itar-tass.com/russia/729813?utm_medium=rss20","TASS","Russian and German diplomats discuss detention of OSCE military observers in Ukraine","Mon- 28 Apr 2014 15-21-33 +0400"
